"ID","CITED","CITING"
1082,175548,1120049
1083,175548,689152
1084,175548,753070
1085,175909,112787
1086,175909,1153891
1087,175909,221302
1088,177115,5069
1089,177993,1110515
1090,177998,1110515
1091,177998,583318
1092,178209,1000012
1093,178209,116084
1094,178209,195150
2151,178209,568045
2152,178209,75972
2153,178718,1110546
2154,178718,69296
2155,178727,1110546
2156,179180,1110563
2157,179180,1126037
2158,179180,139865
2159,179702,1121569
2160,179702,1152859
2161,179702,141171
2162,179702,424540
2163,179706,141171
2164,180187,1131719
2165,180301,1110628
2166,180373,180399
2167,180399,1120084
2168,180399,385572
2169,182093,197054
2170,182094,1131550
2171,182094,197054
2172,182094,650814
2173,184157,95435
2174,184918,171225
2175,184918,330148
2176,187260,1110950
2177,187354,1117786
2178,187354,1127851
2179,187354,372862
2180,188318,1110998
2181,188471,628500
2182,189566,1153014
2183,189566,189856
2184,189566,310742
2185,189566,36802
2186,189566,90470
2187,189571,1154232
2188,189571,189572
2189,189571,521855
2190,189571,714748
2191,189572,1134348
2192,189574,1123689
2193,189620,1129994
2194,189620,1133417
2195,189623,683355
2196,189655,559804
2197,189655,714260
2198,189655,714748
2199,189708,149669
2200,189721,1129518
2201,189774,1134346
2202,189774,714879
2203,189856,1129518
2204,189856,1129994
2205,189856,683355
2206,189856,683404
2207,190698,1114502
2208,190698,190697
2209,190698,198443
2210,190706,144212
2211,190706,182094
2212,191222,191216
2213,191222,708945
2214,192850,272720
2215,192870,1111186
2216,192870,1114398
2217,193347,1129835
2218,193347,1131719
2219,193347,193354
2220,193347,612306
2221,193352,1129835
2222,193352,1131719
2223,193352,193347
2224,193352,193354
2225,193352,612306
2226,193354,1129835
2227,193742,1111230
2228,193742,6152
2229,193918,1111240
2230,193931,1111240
2231,193931,193932
2232,193932,1111240
2233,194223,1126044
2234,194223,390922
2235,194609,1128868
2236,194609,1129572
2237,194609,1154520
2238,194609,126128
2239,194609,215912
2240,194609,31927
2241,194609,563613
2242,194617,1124844
2243,194617,1129572
2244,194617,215912
2245,194617,31932
2246,194645,248823
2247,195150,568045
2248,195361,1111304
2249,195792,1128974
2250,195792,19045
2251,195792,377303
2252,195792,593210
2253,195792,682815
2254,197054,1125092
2255,197452,1135894
2256,197452,424
2257,198443,190697
2258,198653,1113551
2259,198653,1130539
2260,198653,1152896
2261,198653,3084
2262,198653,887
2263,198866,1153728
2264,198866,73327
2265,199571,46431
2266,200630,643734
2267,202520,1115701
2268,202520,446271
2269,202522,446271
2270,202639,1117348
2271,202639,1123087
2272,202639,1154123
2273,202639,1154124
2274,202639,144408
2275,202639,242637
2276,202639,40131
2277,202639,643597
2278,202639,672064
2279,203646,1116569
2280,205192,1132968
2281,205192,578337
2282,205192,99030
2283,205196,1112929
2284,205196,1130568
2285,205196,1130586
2286,205196,628751
2287,205196,628764
2288,205196,628766
2289,205196,815096
2290,205196,950986
2291,206371,69296
2292,206524,48075
2293,208345,1114777
2294,208345,55801
2295,210309,1111978
2296,210871,1117476
2297,210871,1128151
2298,210871,1129629
2299,210871,198653
2300,210871,273152
2301,210871,35
2302,210871,38205
2303,210871,568857
2304,210871,575077
2305,210871,595157
2306,210871,59715
2307,210871,81714
2308,210871,887
2309,210872,1129610
2310,210872,210871
2311,210872,273152
2312,210872,35
2313,210872,593260
2314,210872,606479
2315,212097,1112071
2316,212107,1112071
2317,213246,1122642
2318,213246,34263
2319,213279,197783
2320,215912,31932
2321,216877,1117618
2322,216877,334153
2323,216878,1117618
2324,216878,334153
2325,216878,711527
2326,217115,1112319
2327,217139,154134
2328,217984,1112369
2329,218410,1152663
2330,218410,134128
2331,218682,22874
2332,219218,1112417
2333,219239,12247
2334,219239,157761
2335,219446,1112426
2336,219446,1127812
2337,219446,249421
2338,219446,567018
2339,219976,1116410
2340,220420,1128227
2341,221302,1153891
2342,226698,1112767
2343,226698,1122304
2344,227178,1114502
2345,227178,1128946
2346,227178,1128985
2347,227178,593240
2348,227178,96847
2349,227286,1115790
2350,228990,228992
2351,230300,118260
2352,230879,1130808
2353,230879,1132486
2354,230879,1132948
2355,230879,1133428
2356,230879,1140230
2357,230879,205192
2358,230879,230884
2359,230879,236759
2360,230879,2658
2361,230879,578309
2362,230879,578337
2363,230879,696342
2364,230879,696343
2365,230879,696345
2366,230879,696346
2367,230879,751408
2368,230879,851968
2369,230879,99030
2370,230884,1131607
2371,230884,1132486
2372,230884,1135899
2373,230884,751408
2374,231198,1153195
2375,231198,1153922
2376,231198,144408
2377,231249,1125492
2378,231249,1127913
2379,232605,25413
2380,232606,1132809
2381,232606,232605
2382,232606,25413
2383,232860,1113084
2384,233106,12275
2385,233106,630890
2386,235678,235670
2387,235678,235679
2388,235678,689439
2389,235679,1154524
2390,235679,235670
2391,235679,235678
2392,235679,57773
2393,235679,689439
2394,235683,1154524
2395,235683,235670
2396,235683,235678
2397,235683,235679
2398,235683,57773
2399,237489,1120059
2400,237489,2665
2401,237521,2665
2402,238099,1127851
2403,238401,1125386
2404,239800,95718
2405,239810,359067
2406,240321,1132434
2407,240321,1132459
2408,240321,1136397
2409,240321,1154123
2410,240321,1154124
2411,240321,428610
2412,240321,447250
2413,240321,675649
2414,240321,675847
2415,240321,69392
2416,240791,1113438
2417,240791,45605
2418,240791,503871
2419,240791,650834
2420,241133,1113459
2421,241821,1152711
2422,241821,159085
2423,242637,1113541
2424,243483,459214
2425,245288,1122460
2426,246618,1113742
2427,246618,116553
2428,248395,1113828
2429,248395,58552
2430,248425,1113831
2431,248425,1121398
2432,248425,592975
2433,248425,594387
2434,248431,1113831
2435,248823,682666
2436,249421,1127812
2437,249421,567018
2438,249858,111866
2439,250566,1113926
2440,251756,1102550
2441,251756,195792
2442,252715,601561
2443,253762,23116
2444,253971,1129621
2445,254923,108047
2446,254923,444240
2447,255233,33303
2448,255628,1135589
2449,255628,1140543
2450,255628,120084
2451,256106,1114192
2452,258259,168958
2453,259701,1114331
2454,259702,1114331
2455,259702,1131116
2456,259772,1114336
2457,260121,1114352
2458,260979,1114388
2459,261040,110164
2460,261040,1117184
2461,262108,1114442
2462,262121,1114442
2463,262178,1114442
2464,262178,1138968
2465,262178,85449
2466,263069,1131116
2467,263069,148341
2468,263279,1114502
2469,263482,1114512
2470,263482,1118302
2471,263482,263486
2472,263486,1114512
2473,263498,1152761
2474,263498,1153860
2475,263553,1117219
2476,263553,662416
2477,263553,6910
2478,264347,1153183
2479,264556,120084
2480,264556,289085
2481,264556,335042
2482,265203,86359
2483,267003,75121
2484,267824,1153195
2485,267824,69198
2486,270456,203646
2487,270456,63549
2488,270600,1114838
2489,270600,1153003
2490,272720,192850
2491,273152,210871
2492,273949,1114992
2493,278394,627024
2494,278394,851968
2495,278403,627024
2496,280876,1115291
2497,282700,1115375
2498,284023,1152958
2499,284023,1152959
2500,284023,119761
2501,284023,346292
2502,284025,119761
2503,284025,949217
2504,284414,1115456
2505,285687,285675
2506,286513,1131557
2507,286513,177993
2508,287787,1123756
2509,287787,1130847
2510,287787,1130856
2511,287787,415693
2512,287787,503883
2513,287787,634902
2514,287787,634904
2515,287787,634938
2516,287787,634975
2517,287787,647447
2518,288107,1123215
2519,289085,689152
2520,289088,689152
2521,289779,289780
2522,289779,801170
2523,289780,1128453
2524,289780,1153784
2525,289780,801170
2526,289781,1128453
2527,289781,1153784
2528,289781,289780
2529,289781,801170
2530,289885,1115701
2531,289885,20924
2532,289945,48550
2533,292277,578845
2534,293271,293285
2535,293974,1125469
2536,294030,20924
2537,294126,649944
2538,300806,1133010
2539,300806,29723
2540,300806,396412
2541,300806,6818
2542,302545,1152858
2543,307015,1131198
2544,307015,335733
2545,307015,39474
2546,307015,643199
2547,307336,285675
2548,307336,708945
2549,307656,1131360
2550,307656,270085
2551,310530,38839
2552,310653,159897
2553,314459,1121603
2554,315789,1138027
2555,315789,1139195
2556,318071,1153014
2557,318187,1116922
2558,321004,1117049
2559,321861,1117089
2560,325314,1122704
2561,330148,184918
2562,330148,23502
2563,330208,469504
2564,330208,99025
2565,334153,1117618
2566,335042,1117653
2567,335042,289085
2568,335733,643199
2569,337766,110162
2570,340078,928873
2571,340078,949217
2572,340299,74427
2573,341188,1117942
2574,341188,682666
2575,342802,2695
2576,346243,521251
2577,346292,1152958
2578,346292,284023
2579,348305,193352
2580,350319,193932
2581,354004,1118546
2582,358866,358894
2583,358866,79809
2584,358884,358894
2585,358887,358894
2586,358887,79809
2587,360028,1118823
2588,365294,7430
2589,367312,1119211
2590,367312,746058
2591,368431,30901
2592,368605,1153003
2593,368657,400455
2594,370366,1140040
2595,370366,641956
2596,370366,928873
2597,375605,1119505
2598,375825,1119623
2599,376704,1119654
2600,377303,1129572
2601,379288,67633
2602,380341,60560
2603,384428,1120019
2604,385067,272345
2605,385572,1120084
2606,387795,128540
2607,389715,107251
2608,389715,107252
2609,390693,1131639
2610,395540,1130676
2611,395553,395547
2612,395553,684972
2613,395725,1135115
2614,395725,1153933
2615,397488,1120643
2616,397488,1134865
2617,397590,1120650
2618,399339,1120731
2619,399370,60159
2620,400356,1120777
2621,400356,66990
2622,400455,368657
2623,400473,131117
2624,408885,1154173
2625,409255,1153097
2626,415693,254923
2627,416867,1121537
2628,416964,127940
2629,421481,375825
2630,423816,1134865
2631,423816,48781
2632,424540,48555
2633,427606,1050679
2634,427606,1131634
2635,427606,1138968
2636,427606,62329
2637,430329,127940
2638,430574,1105622
2639,430711,1132416
2640,430711,671052
2641,431206,662572
2642,440815,645571
2643,444191,1154068
2644,444191,6910
2645,445938,315266
2646,446610,300071
2647,447224,164885
2648,449841,1123093
2649,458439,1123493
2650,459206,1123530
2651,459213,1123530
2652,459214,1123530
2653,459216,1123530
2654,459216,593210
2655,466170,66794
2656,467383,1128977
2657,467383,116553
2658,486840,1128975
2659,486840,595063
2660,503877,1131374
2661,503877,1153577
2662,503877,1154076
2663,503883,1131374
2664,503883,1153577
2665,503883,1154076
2666,503883,577331
2667,503883,646809
2668,503883,646836
2669,503883,646913
2670,503883,647413
2671,503883,647447
2672,503893,1153577
2673,503893,33904
2674,503893,646837
2675,509379,1125393
2676,513189,1125597
2677,513189,573964
2678,513189,576691
2679,513189,787016
2680,519318,1125906
2681,519353,1125909
2682,520471,1125953
2683,521183,1125992
2684,521183,521207
2685,521183,521251
2686,521207,521269
2687,521251,1125992
2688,521252,1125992
2689,521269,1125993
2690,521855,519353
2691,522338,1132864
2692,522338,683360
2693,523010,1126044
2694,523010,1140543
2695,523394,714975
2696,523574,1154229
2697,523574,523394
2698,523574,653441
2699,523574,714289
2700,529165,1126315
2701,531348,531351
2702,531351,531348
2703,545647,582511
2704,559804,653441
2705,559804,714289
2706,560936,562123
2707,560936,91581
2708,561364,642827
2709,561568,153063
2710,561581,561582
2711,561581,646440
2712,561582,561581
2713,561593,1131223
2714,561595,561581
2715,561595,561582
2716,561610,561595
2717,561611,561595
2718,561611,561610
2719,561613,153063
2720,561613,561568
4433,561674,1127541
4434,561674,561581
4435,561674,562067
4436,561789,1127551
4437,561789,561674
4438,561789,562067
4439,561809,1127558
4440,561809,1131300
4441,561809,562067
4442,562067,1127566
4443,562123,560936
4444,562940,1127619
4445,562940,61417
4446,563613,1129572
4447,563613,31927
4448,566653,3085
4449,566653,566664
4450,566664,3085
4451,567005,1127810
4452,567018,1127812
4453,568857,1129629
4454,568857,1153816
4455,573535,693143
4456,573553,1129608
4457,573553,1135750
4458,573553,1138970
4459,573553,171954
4460,573553,820662
4461,573964,513189
4462,573964,576691
4463,573964,787016
4464,574009,594900
5,574264,576795
6,574264,815096
13,575077,117316
14,575077,579008
15,575077,593544
16,575077,594649
35,575077,608190
36,575077,608191
37,575077,66556
38,575077,94641
39,575292,1131734
40,575292,1138968
41,575402,1129778
42,575795,1128975
75,575795,595063
76,576257,1153943
77,576257,594649
78,576362,1129629
79,576362,286500
80,576362,568857
81,576691,1128198
82,576725,576795
83,576795,1128201
84,576973,1128208
85,576973,58758
86,577227,1131752
87,577331,1128227
88,578306,578347
89,578309,578347
90,578337,1132486
115,578337,236759
116,578337,696345
117,578337,696346
118,578337,99023
119,578347,578309
120,578365,578306
121,578365,578309
122,578646,1128291
123,578646,1128319
124,578646,1153899
125,578646,1153900
126,578646,578645
127,578646,578649
128,578650,1128291
129,578650,1153853
130,578650,578649
131,578669,1128943
132,578669,1128978
133,578845,578645
134,578845,593240
135,578845,593559
136,578845,593560
137,578898,578646
138,579008,1128943
139,579008,1128978
140,579008,248425
141,579008,593921
142,579008,594387
143,579108,1128314
144,582139,1128425
145,582139,1130680
146,582343,1128437
353,582349,1128437
354,582511,545647
355,589923,590022
356,591016,1128856
357,591016,591017
358,591017,1128856
359,592826,1128935
360,592830,1128935
361,592973,592975
362,592973,592986
363,592975,592986
364,592986,592975
365,592993,1128943
366,592993,1128978
367,592993,593105
368,592996,1128943
369,592996,1128978
370,593022,1128946
371,593060,1128977
372,593091,593248
373,593104,1129015
374,593104,593921
375,593104,593942
376,593155,593240
377,593201,594649
378,593209,593210
379,593240,1136791
380,593240,593210
381,593328,87363
382,593329,87363
383,593544,1128982
384,593559,593560
385,593560,593559
386,593942,1129015
387,593942,1153896
388,594011,1153896
389,594011,593942
390,594039,1129015
391,594047,1129629
392,594047,650834
393,594119,1129021
394,594483,1129040
395,594511,1153899
396,594511,1153900
397,601462,1129367
398,601462,1129368
399,601462,1129369
400,604073,1129494
401,606479,1129610
402,608190,608191
667,608190,70970
668,608191,70970
669,608326,1129683
670,608326,1131611
671,610529,1153946
672,612306,1131719
673,612306,193347
674,613409,1129907
675,616336,689439
676,617378,1130069
677,617575,1130080
678,621555,1130243
679,626530,1130454
680,626530,1154012
681,626530,626531
682,626530,626574
683,626531,1130454
684,626531,626574
685,626574,1154012
686,626999,139547
687,626999,911198
688,627024,911198
689,628458,628459
690,628500,1130600
691,628500,188471
692,628667,628668
693,628751,628764
694,628751,950986
695,628815,1130567
696,628888,628764
697,630817,1130676
698,630890,1130678
699,631015,396412
700,631015,631052
701,632796,884094
702,632874,40583
703,633030,633031
704,633031,633030
705,633081,1130780
706,633081,31489
707,633081,40605
708,633081,632796
709,633081,632874
710,633585,40605
711,633585,633721
712,633585,884094
713,633721,1130915
714,634902,634975
715,634904,634975
716,634938,1130847
717,640617,259702
718,641956,1131149
719,641956,1131150
720,641976,1131150
721,641976,672070
722,641976,672071
723,642593,1131163
724,642621,1131164
725,642621,1131258
726,642621,16819
727,642641,645084
728,642681,1131167
729,642681,1131236
730,642681,644093
731,642681,644334
732,642681,644441
733,642681,646286
734,642798,1131172
735,642798,644470
736,642847,642681
737,642894,1131180
738,642894,1131236
739,642894,1131301
740,642894,1131312
741,642894,1131335
742,642894,642798
743,642894,643239
744,642894,643485
745,642894,645046
746,642894,645870
747,642894,646286
748,642894,646334
749,642894,646357
750,642920,1131184
751,642920,642930
752,642930,1131184
753,643003,1131189
754,643069,1131192
755,643199,1131198
756,643221,1131236
757,643221,1131257
758,643221,1131305
759,643221,1131312
760,643221,1131334
761,643221,1131335
762,643221,126927
763,643221,16819
764,643221,642894
765,643221,643239
766,643221,643485
1295,643221,644093
1296,643221,644448
1297,643221,644577
1298,643221,645897
1299,643221,646286
1300,643239,1131312
1301,643239,1131334
1302,643239,126927
1303,643239,16819
1304,643239,643221
1305,643239,644093
1306,643485,643221
1307,643695,1154068
1308,643695,643597
1309,643734,643777
1310,643735,643734
1311,644093,1131236
1312,644361,645016
1313,644363,645016
1314,644427,1131257
1315,644427,644577
1316,644441,1131258
1317,644441,644334
1318,644448,1131258
1319,644448,1131314
1320,644448,644470
1321,644448,644494
1322,644494,1131314
1323,644494,644470
1324,644577,1131301
1325,644577,1131305
1326,644577,1131334
1327,644577,643485
1328,644577,645897
1329,644843,1131274
1330,644843,645016
1331,645016,1154071
1332,645046,1131301
1333,645046,646334
1334,645046,646357
1335,645084,1131277
1336,645088,1131277
1337,645088,645084
1338,645452,645016
1339,645571,645897
1340,645870,1131301
1341,645870,644494
1342,645897,126927
1343,646286,6913
1344,646289,6913
1345,646334,646357
1346,646357,646334
1347,646412,1131330
1348,646809,1131374
1349,646809,1154076
1350,646809,646913
1351,646900,1131359
1352,646900,1131360
1353,646900,1132731
1354,646900,646913
1355,646913,1131359
1356,646913,647413
1357,647315,1154076
1358,647447,577331
1359,648106,1131421
1360,648106,648112
1361,648112,1131420
1362,648112,1131421
1363,648112,648106
1364,648112,648121
1365,648121,1131420
1366,648121,648106
1367,648232,567005
1368,648369,1131414
1369,649730,1131464
1370,649731,1131464
1371,649731,123825
1372,649739,1131464
1373,650807,1131549
1374,650807,1131565
1375,650814,1131550
1376,653441,1134346
1377,653441,189774
1378,653628,1133930
1379,654177,1131728
1380,654326,1131741
1381,654326,654339
1382,654339,1131741
1383,654339,654326
1384,654519,1131754
1385,656048,1131828
1386,656231,103531
1387,662250,1132073
1388,662416,1123188
1389,662572,431206
1390,671052,1132406
1391,671269,1132418
1392,671269,1132443
1393,671269,1132461
1394,671269,1154123
1395,671269,1154124
1396,671293,1132443
1397,672064,6130
1398,672070,1132443
1399,672070,1154123
1400,672070,1154124
1401,672070,6130
1402,672070,672071
1403,672071,1132443
1404,672071,1132461
1405,672071,6130
1406,672071,672070
1407,675649,1132505
1408,675756,1132505
1409,675756,675649
1410,675847,1132505
1411,682508,1132857
1412,683294,1132857
1413,683294,682508
1414,683355,683404
1415,683360,683404
1416,683404,683355
1417,684531,684372
1418,684972,395547
1419,684986,395553
1420,684986,684972
1421,687401,273949
1422,688824,1133008
1423,688849,1133010
1424,689152,289085
1425,693143,573535
1426,693143,695284
1427,696343,1133428
1428,696345,236759
1429,696345,2658
1430,696345,696342
1431,696345,696346
1432,709113,1134031
1433,709518,1134056
1434,711994,1134197
1435,714208,189774
1436,714256,1154232
1437,714256,1154233
1438,714256,189572
1439,714256,714260
1440,714256,714748
1441,714260,559804
1442,714260,714879
1443,714289,1154230
1444,714289,1154232
1445,714289,189571
1446,714289,559804
1447,714289,714208
1448,733167,1154276
1449,733534,1135122
1450,733534,948147
1451,733576,1135082
1452,734406,1135115
1453,735303,735311
1454,738941,1135455
1455,738941,162080
1456,739280,367312
1457,739280,746058
1458,739707,950305
1459,739816,1135894
1460,739816,1140543
1461,739816,1140548
1462,746058,367312
1463,751408,1135899
1464,752684,1135955
1465,753047,1136631
1466,753047,1136634
1467,753047,753070
1468,753047,753264
1469,753047,753265
1470,753047,767763
1471,753070,753047
1472,753070,753264
1473,753070,767763
1474,753264,753047
1475,753264,767763
1476,753265,753047
1477,754594,1136040
1478,755082,1136393
1479,756061,1136110
1480,756061,1136446
1481,756061,1136447
1482,762980,1136446
1483,762980,1136447
1484,763009,1136446
1485,763009,1136447
1486,763009,1136449
1487,763010,1136446
1488,763010,1136447
1489,763010,1136449
1490,763010,762980
1491,767763,1136631
1492,779960,1137140
1493,787016,573978
1494,814836,1138619
2721,815073,205196
2722,815096,205196
2723,817774,820661
2724,824245,1139009
2725,851968,1140231
2726,853114,19621
2727,853114,853116
2728,853114,853155
2729,853115,19621
2730,853115,853114
2731,853115,853116
2732,853115,853155
2733,853116,19621
2734,853116,853155
2735,853118,1140289
2736,853155,853118
2737,954315,1155073
2738,39127,1105932
2739,39127,1128881
2740,39127,1128927
2741,39127,1128935
2742,39127,116081
2743,39127,116084
2744,39127,116087
2745,39127,195150
2746,39127,277263
2747,39127,3231
2748,39127,46476
2749,39127,49660
2750,39127,52835
2751,39127,592826
2752,39127,592830
2753,39127,75972
2754,39130,346243
2755,39130,36620
2756,39130,39131
2757,39130,521252
2758,39131,1106330
2759,39131,1131728
2760,39131,3231
2761,39131,6334
2762,39165,1131137
2763,39165,118682
2764,39165,39126
2765,39199,39210
2766,39199,66982
2767,39199,66990
2768,39210,66982
2769,39210,66986
2770,39403,130
2771,39474,1694
2772,39890,1123689
2773,39890,1154229
2774,39890,1154232
2775,39890,1154233
2776,39890,149669
2777,39890,162664
2778,39890,189571
2779,39890,242663
2780,39890,294030
2781,39890,3191
2782,39890,51045
2783,39890,521855
2784,39890,523394
2785,39890,559804
2786,39890,653441
2787,39890,714256
2788,39890,714289
2789,39890,714975
2790,40124,1104258
2791,40124,1112723
2792,40125,1104258
2793,40131,118079
2794,40135,118079
2795,40135,13686
2796,40151,1104261
2797,40151,1132418
2798,40151,1152307
2799,40151,1152448
2800,40151,1152975
2801,40151,1153703
2802,40151,288
2803,40151,49660
2804,40151,671293
2805,40605,40583
2806,40605,633721
2807,40605,884094
2808,40886,1121459
2809,40886,112378
2810,40886,1131728
2811,40886,141868
2812,40886,145215
2813,40886,429805
2814,40886,654177
2815,41216,1104300
2816,41417,1108329
2817,41417,1113551
2818,41417,128383
2819,41666,943087
2820,41714,1033
2821,41714,1110515
2822,41714,144212
2823,41714,182094
2824,41714,190697
2825,41714,190706
2826,41714,197054
2827,41714,44455
2828,41714,568857
2829,41714,594047
2830,41714,61069
2831,42156,1116594
2832,42156,1118120
2833,42156,1152179
2834,42156,340299
2835,42207,219239
2836,42209,27199
2837,42221,248119
2838,42221,27199
2839,42221,42209
2840,42221,57948
2841,42221,989397
2842,42847,1104379
2843,42848,1104379
2844,42848,1116835
2845,43165,1131195
2846,43186,1135894
2847,43186,152731
